id,wav_path,speaker_type,noise_level,ref_transcript,canonical_query_id
1,audio/q1_v1.wav,azure_tts,quiet,領角鴞吃什麼?,1
2,audio/q2_v1.wav,azure_tts,quiet,野豬媽媽如何保護幼仔?,2
3,audio/q3_v1.wav,azure_tts,quiet,世界上有幾種穿山甲?,3
4,audio/q4_v1.wav,azure_tts,quiet,有哪幾種食蟻獸跟穿山甲容易搞混?,4
5,audio/q5_v1.wav,azure_tts,quiet,穿山甲的威脅與困境,5
6,audio/q6_v1.wav,azure_tts,quiet,石虎與家貓的比較?,6
7,audio/q7_v1.wav,azure_tts,quiet,臺灣野山羊跟臺灣山羌的差別?,7
8,audio/q8_v1.wav,azure_tts,quiet,鼬獾與白鼻心的區別?,8
9,audio/q9_v1.wav,azure_tts,quiet,穿山甲的前肢尖爪有什麼作用？,9
10,audio/q10_v1.wav,azure_tts,quiet,穿山甲是保育類嗎?,10
11,audio/q11_v1.wav,azure_tts,quiet,臺灣梅花鹿都吃甚麼,11
12,audio/q12_v1.wav,azure_tts,quiet,藍腹鷴是如何繁殖的?,12
13,audio/q13_v1.wav,azure_tts,quiet,為何我看不到動物?,13
14,audio/q14_v1.wav,azure_tts,quiet,領角鴞是日行性還是夜行性動物?,14
15,audio/q15_v1.wav,azure_tts,quiet,臺灣海拔最低、生存環境最接近人類的貓頭鷹是哪一種？,15
16,audio/q16_v1.wav,azure_tts,quiet,請問臺灣動物區有哪些動物？,16
17,audio/q17_v1.wav,azure_tts,quiet,藍腹鷴怎麼吃東西的？,17
18,audio/q18_v1.wav,azure_tts,quiet,白鼻心爬樹高手嗎？,18
19,audio/q19_v1.wav,azure_tts,quiet,藍腹鷴與帝雉有什麼不同,19
20,audio/q20_v1.wav,azure_tts,quiet,為什麼我在欄舍看不到黑熊?,20
21,audio/q21_v1.wav,azure_tts,quiet,這個區域有貓熊嗎?,21
22,audio/q22_v1.wav,azure_tts,quiet,請問臺灣獼猴算是瀕危動物嗎?,22
23,audio/q23_v1.wav,azure_tts,quiet,臺灣有幾種穿山甲?,23
24,audio/q24_v1.wav,azure_tts,quiet,石虎現在面臨什麼威脅,24
25,audio/q25_v1.wav,azure_tts,quiet,現在在臺灣何處還有可能發現石虎的行蹤,25
26,audio/q26_v1.wav,azure_tts,quiet,雲豹在臺灣算是瀕危動物嗎?,26
27,audio/q27_v1.wav,azure_tts,quiet,石虎有什麼習性,27
28,audio/q28_v1.wav,azure_tts,quiet,在野外遇到臺灣黑熊應該怎麼辦？,28
29,audio/q29_v1.wav,azure_tts,quiet,臺灣黑熊在野外還有多少數量？,29
30,audio/q30_v1.wav,azure_tts,quiet,臺灣野豬一胎生幾隻?,30
31,audio/q31_v1.wav,azure_tts,quiet,歐亞水獺是臺灣原生種嗎?,31
32,audio/q32_v1.wav,azure_tts,quiet,平常為何在平地也看到白鼻心?,32
33,audio/q33_v1.wav,azure_tts,quiet,領角鴞是瀕危動物嗎?,33
